epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.6634,1.08238,0.41667,1,1.0595,0.0001071,0.0001071,0.0001071
2,11.1016,0.72863,0.75,1,0.93954,0.000199427,0.000199427,0.000199427
3,16.7788,0.44393,0.66667,1,0.86223,0.000269135,0.000269135,0.000269135
4,22.0955,0.367,0.75,1,0.82218,0.000316223,0.000316223,0.000316223
5,27.4287,0.30435,0.83333,1,0.82593,0.000340692,0.000340692,0.000340692
6,33.7491,0.24092,0.66667,1,0.83167,0.000342541,0.000342541,0.000342541
7,39.425,0.23362,0.66667,1,0.82423,0.000289884,0.000289884,0.000289884
8,44.9041,0.211,0.75,1,0.81714,0.000219198,0.000219198,0.000219198
9,50.1226,0.17796,0.66667,1,0.83035,0.000148512,0.000148512,0.000148512
10,55.6703,0.15224,0.66667,1,0.83751,7.7826e-05,7.7826e-05,7.7826e-05
